RUN	simulations.FixedDurationLoadSimulation	fixeddurationloadsimulation	1577969192520	 	3.0.2
REQUEST	12		get all video games	1577969208860	1577969208862	OK	 
REQUEST	12		get all video games	1577969208863	1577969208865	OK	 
USER	Fixed Duration Load Simulation 	30	START	1577969209331	1577969209331
REQUEST	30		get all video games	1577969209332	1577969209336	OK	 
REQUEST	21		get specific video game	1577969209352	1577969209355	OK	 
REQUEST	13		get all video games	1577969209361	1577969209363	OK	 
REQUEST	13		get all video games	1577969209364	1577969209365	OK	 
REQUEST	22		get specific video game	1577969209853	1577969209855	OK	 
REQUEST	14		get all video games	1577969209861	1577969209863	OK	 
REQUEST	14		get all video games	1577969209863	1577969209865	OK	 
USER	Fixed Duration Load Simulation 	31	START	1577969210333	1577969210333
REQUEST	31		get all video games	1577969210333	1577969210339	OK	 
REQUEST	23		get specific video game	1577969210352	1577969210354	OK	 
REQUEST	15		get all video games	1577969210360	1577969210362	OK	 
REQUEST	15		get all video games	1577969210363	1577969210364	OK	 
USER	Fixed Duration Load Simulation 	32	START	1577969210831	1577969210831
REQUEST	32		get all video games	1577969210832	1577969210836	OK	 
REQUEST	24		get specific video game	1577969210851	1577969210854	OK	 
USER	Fixed Duration Load Simulation 	33	START	1577969211332	1577969211332
REQUEST	33		get all video games	1577969211333	1577969211337	OK	 
REQUEST	25		get specific video game	1577969211351	1577969211353	OK	 
REQUEST	16		get all video games	1577969211361	1577969211363	OK	 
REQUEST	16		get all video games	1577969211363	1577969211365	OK	 
USER	Fixed Duration Load Simulation 	34	START	1577969211832	1577969211832
REQUEST	34		get all video games	1577969211833	1577969211836	OK	 
REQUEST	17		get all video games	1577969211861	1577969211863	OK	 
REQUEST	17		get all video games	1577969211863	1577969211865	OK	 
USER	Fixed Duration Load Simulation 	35	START	1577969212332	1577969212332
REQUEST	35		get all video games	1577969212333	1577969212337	OK	 
REQUEST	26		get specific video game	1577969212350	1577969212352	OK	 
REQUEST	18		get all video games	1577969212361	1577969212363	OK	 
REQUEST	18		get all video games	1577969212364	1577969212366	OK	 
REQUEST	27		get specific video game	1577969212853	1577969212855	OK	 
REQUEST	19		get all video games	1577969212860	1577969212863	OK	 
REQUEST	19		get all video games	1577969212863	1577969212865	OK	 
USER	Fixed Duration Load Simulation 	36	START	1577969213332	1577969213332
REQUEST	36		get all video games	1577969213333	1577969213337	OK	 
REQUEST	28		get specific video game	1577969213351	1577969213354	OK	 
REQUEST	20		get all video games	1577969213362	1577969213364	OK	 
REQUEST	20		get all video games	1577969213364	1577969213366	OK	 
REQUEST	3		get specific video game	1577969213422	1577969213425	OK	 
REQUEST	4		get specific video game	1577969213433	1577969213437	OK	 
REQUEST	1		get specific video game	1577969213433	1577969213437	OK	 
REQUEST	6		get specific video game	1577969213433	1577969213437	OK	 
REQUEST	11		get specific video game	1577969213433	1577969213438	OK	 
REQUEST	7		get specific video game	1577969213433	1577969213439	OK	 
REQUEST	8		get specific video game	1577969213433	1577969213439	OK	 
REQUEST	5		get specific video game	1577969213433	1577969213440	OK	 
REQUEST	2		get specific video game	1577969213433	1577969213440	OK	 
REQUEST	10		get specific video game	1577969213433	1577969213440	OK	 
REQUEST	9		get specific video game	1577969213441	1577969213442	OK	 
USER	Fixed Duration Load Simulation 	37	START	1577969213831	1577969213831
REQUEST	37		get all video games	1577969213832	1577969213835	OK	 
REQUEST	29		get specific video game	1577969213853	1577969213855	OK	 
REQUEST	12		get specific video game	1577969213871	1577969213873	OK	 
USER	Fixed Duration Load Simulation 	38	START	1577969214332	1577969214332
REQUEST	38		get all video games	1577969214333	1577969214336	OK	 
REQUEST	30		get specific video game	1577969214352	1577969214355	OK	 
REQUEST	13		get specific video game	1577969214360	1577969214362	OK	 
REQUEST	21		get all video games	1577969214360	1577969214362	OK	 
REQUEST	21		get all video games	1577969214363	1577969214364	OK	 
USER	Fixed Duration Load Simulation 	39	START	1577969214830	1577969214830
REQUEST	39		get all video games	1577969214831	1577969214834	OK	 
REQUEST	22		get all video games	1577969214863	1577969214865	OK	 
REQUEST	22		get all video games	1577969214866	1577969214867	OK	 
REQUEST	14		get specific video game	1577969214870	1577969214873	OK	 
USER	Fixed Duration Load Simulation 	40	START	1577969215332	1577969215332
REQUEST	40		get all video games	1577969215333	1577969215338	OK	 
REQUEST	31		get specific video game	1577969215350	1577969215352	OK	 
REQUEST	23		get all video games	1577969215363	1577969215364	OK	 
REQUEST	23		get all video games	1577969215365	1577969215367	OK	 
REQUEST	15		get specific video game	1577969215372	1577969215377	OK	 
REQUEST	32		get specific video game	1577969215853	1577969215856	OK	 
REQUEST	24		get all video games	1577969215861	1577969215862	OK	 
REQUEST	24		get all video games	1577969215863	1577969215864	OK	 
USER	Fixed Duration Load Simulation 	41	START	1577969216332	1577969216332
REQUEST	41		get all video games	1577969216332	1577969216336	OK	 
REQUEST	33		get specific video game	1577969216352	1577969216354	OK	 
REQUEST	16		get specific video game	1577969216361	1577969216363	OK	 
REQUEST	25		get all video games	1577969216361	1577969216363	OK	 
REQUEST	25		get all video games	1577969216363	1577969216365	OK	 
USER	Fixed Duration Load Simulation 	42	START	1577969216832	1577969216832
REQUEST	42		get all video games	1577969216833	1577969216836	OK	 
REQUEST	34		get specific video game	1577969216853	1577969216856	OK	 
REQUEST	17		get specific video game	1577969216862	1577969216865	OK	 
USER	Fixed Duration Load Simulation 	43	START	1577969217331	1577969217331
REQUEST	43		get all video games	1577969217332	1577969217336	OK	 
REQUEST	35		get specific video game	1577969217352	1577969217354	OK	 
REQUEST	18		get specific video game	1577969217360	1577969217361	OK	 
REQUEST	26		get all video games	1577969217360	1577969217361	OK	 
REQUEST	26		get all video games	1577969217362	1577969217363	OK	 
USER	Fixed Duration Load Simulation 	44	START	1577969217831	1577969217831
REQUEST	44		get all video games	1577969217832	1577969217837	OK	 
REQUEST	27		get all video games	1577969217861	1577969217864	OK	 
REQUEST	27		get all video games	1577969217865	1577969217868	OK	 
REQUEST	19		get specific video game	1577969217871	1577969217873	OK	 
USER	Fixed Duration Load Simulation 	45	START	1577969218332	1577969218332
